id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click
3658,User3658,,,,Side,Shopping,Night,1
6602,User6602,,,Desktop,Side,,Night,1
9227,User9227,,Non-Binary,,Side,,,1
7438,User7438,,Non-Binary,,Side,News,Morning,1
5733,User5733,,,Mobile,Bottom,,Morning,0
6771,User6771,,,,Side,,Morning,1
8442,User8442,54.0,,Tablet,Bottom,News,Evening,0
393,User393,,,Desktop,Bottom,Shopping,Morning,1
8947,User8947,22.0,Male,,,Entertainment,,1
6423,User6423,,,Tablet,Side,Shopping,Afternoon,0
4254,User4254,19.0,Male,Desktop,Bottom,,Afternoon,1
9806,User9806,58.0,Male,,Bottom,,Evening,1
6883,User6883,32.0,Male,Desktop,Side,News,Afternoon,0
8208,User8208,,Female,Tablet,Top,Education,Evening,1
5425,User5425,,,Mobile,Side,Entertainment,Afternoon,1
4874,User4874,,Male,Mobile,,News,,0
4950,User4950,28.0,Male,Mobile,,,Morning,1
24,User24,,,Tablet,Side,,,1
2019,User2019,42.0,,Tablet,Top,,Night,0
1446,User1446,,,Desktop,Bottom,News,Night,1
7750,User7750,46.0,,Mobile,Side,Social Media,Morning,1
2337,User2337,40.0,Male,Desktop,Top,Entertainment,,1
6765,User6765,46.0,Female,,,Entertainment,Morning,1
6906,User6906,,Non-Binary,Mobile,Top,,,1
2555,User2555,,Non-Binary,Tablet,,News,,1
8372,User8372,52.0,,Desktop,Top,,Afternoon,0
400,User400,52.0,Non-Binary,Tablet,Side,,Evening,1
5403,User5403,61.0,Male,Desktop,Top,Education,Night,0
9617,User9617,63.0,,Tablet,,Shopping,,1
7792,User7792,,Male,Mobile,Bottom,,Evening,0
3708,User3708,43.0,Male,Desktop,Top,,Evening,0
3280,User3280,29.0,,Tablet,Side,,Morning,0
6268,User6268,,,Desktop,Top,,Night,1
5664,User5664,32.0,Male,Mobile,Top,,,0
6268,User6268,,,Desktop,Top,,Night,1
1945,User1945,20.0,,Tablet,Side,Entertainment,,1
9806,User9806,58.0,Male,Tablet,Bottom,,,1
3299,User3299,44.0,Non-Binary,Tablet,Side,,Evening,1
2336,User2336,32.0,,Tablet,Side,,Morning,1
4587,User4587,,,Tablet,Top,,,0
7438,User7438,53.0,Non-Binary,Mobile,Side,News,Morning,1
9162,User9162,,,Mobile,Top,,Night,0
1325,User1325,,,Desktop,Side,,Evening,1
1148,User1148,25.0,,Mobile,Bottom,,,1
6167,User6167,20.0,Male,Mobile,Side,,Night,1
5276,User5276,,,Tablet,Side,Shopping,Afternoon,1
5338,User5338,51.0,Male,Mobile,Top,Social Media,Morning,1
6462,User6462,,,Tablet,Side,Education,Evening,1
9266,User9266,38.0,,Mobile,,Education,Afternoon,1
1190,User1190,,Non-Binary,,,Education,Morning,1
6188,User6188,20.0,,,Bottom,Entertainment,Morning,1
7988,User7988,,,Mobile,Bottom,News,Evening,0
9789,User9789,,,Tablet,,,Morning,1
5756,User5756,51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1
6160,User6160,,,Tablet,,,Evening,0
1549,User1549,56.0,,Desktop,Top,,Afternoon,1
6980,User6980,62.0,,,Bottom,Social Media,Night,1
5193,User5193,50.0,Female,Desktop,,Education,,1
8956,User8956,,Male,Tablet,Top,,Morning,1
3906,User3906,,Non-Binary,Tablet,Bottom,,Evening,1
8190,User8190,26.0,,Mobile,Side,,,1
7973,User7973,28.0,,Mobile,Bottom,,Morning,1
4015,User4015,44.0,Male,Tablet,Side,,Evening,1
1305,User1305,,Female,Tablet,Top,News,Night,1
2650,User2650,53.0,,Desktop,Side,,Morning,0
9173,User9173,49.0,,Desktop,Side,Education,Evening,0
5566,User5566,,Non-Binary,Mobile,,Social Media,Morning,1
1141,User1141,37.0,,Desktop,,,Afternoon,1
393,User393,,,Desktop,Bottom,Shopping,,1
3759,User3759,,,Mobile,Top,,,0
5425,User5425,,Non-Binary,Mobile,,Entertainment,Afternoon,1
7438,User7438,53.0,Non-Binary,Mobile,Side,News,Morning,1
9231,User9231,21.0,,Desktop,Top,Shopping,,1
3561,User3561,37.0,,Desktop,,Social Media,Evening,1
9855,User9855,,,Desktop,Bottom,,Morning,1
1445,User1445,44.0,Female,Mobile,Top,,,0
6811,User6811,24.0,Male,Mobile,Bottom,Education,Evening,1
1214,User1214,26.0,Female,Mobile,,News,Evening,1
1557,User1557,,,,Bottom,,Night,0
1171,User1171,,Female,Mobile,Bottom,,Night,1
966,User966,54.0,Male,Desktop,Bottom,,Night,1
4015,User4015,44.0,Male,,Side,,Evening,1
4462,User4462,52.0,,Tablet,Bottom,,Afternoon,1
5483,User5483,52.0,,Tablet,Side,Education,,0
6258,User6258,,Non-Binary,Tablet,Top,,Night,1
2722,User2722,39.0,,Desktop,Top,,Evening,1
3429,User3429,59.0,,Tablet,Side,,Morning,1
7670,User7670,54.0,Female,,Top,Education,Night,1
5993,User5993,,,Desktop,Bottom,Entertainment,Evening,0
1368,User1368,,Female,,Top,,Afternoon,0
9842,User9842,43.0,Non-Binary,Mobile,Top,,Afternoon,1
8789,User8789,44.0,Female,,,Entertainment,Evening,1
3042,User3042,,,Mobile,Side,Social Media,Afternoon,1
3523,User3523,22.0,Male,Desktop,Bottom,,Morning,0
5055,User5055,45.0,,Desktop,Top,Education,Morning,1
9695,User9695,26.0,Male,Desktop,Side,Entertainment,Night,0
9057,User9057,,,Desktop,Side,,,1
3644,User3644,,Female,,Side,Entertainment,Evening,1
4883,User4883,,Female,,Top,,Night,0
3236,User3236,56.0,Female,Mobile,Bottom,,Morning,1
416,User416,,,,Bottom,Social Media,Morning,0
301,User301,59.0,Male,,Side,Social Media,Evening,1
9151,User9151,22.0,Male,,Top,,Evening,0
3430,User3430,61.0,Male,Desktop,Side,Social Media,Morning,1
5487,User5487,,,,Bottom,,Night,0
8978,User8978,,,Desktop,Side,,Morning,0
2711,User2711,,Non-Binary,Tablet,Side,Education,,0
2272,User2272,,,,Bottom,,,1
606,User606,,Non-Binary,Desktop,Bottom,,Afternoon,1
1171,User1171,,Female,Mobile,Bottom,,Night,1
5498,User5498,,Female,Tablet,Side,Education,Morning,1
9670,User9670,56.0,,Desktop,Top,Shopping,Afternoon,0
4462,User4462,52.0,,Tablet,Bottom,,Afternoon,1
2555,User2555,,Non-Binary,Tablet,Bottom,News,Evening,1
9816,User9816,,Male,Desktop,,Entertainment,Morning,0
9516,User9516,28.0,,Desktop,Top,,Morning,1
805,User805,,,Desktop,Bottom,,,1
1127,User1127,,,,Side,,Afternoon,1
6211,User6211,34.0,Female,Mobile,Top,,Night,0
9736,User9736,46.0,,Desktop,Bottom,,Evening,1
7438,User7438,53.0,Non-Binary,Mobile,Side,News,,1
7086,User7086,30.0,Non-Binary,Mobile,,,Morning,1
5921,User5921,,,Desktop,Side,,Morning,1
1741,User1741,45.0,,Mobile,Bottom,,Night,1
5056,User5056,,,Tablet,Side,Social Media,,0
5005,User5005,49.0,Male,Desktop,Top,Shopping,,1
1454,User1454,,Female,,Top,,Morning,1
7057,User7057,43.0,,Tablet,Side,News,Night,0
2196,User2196,,,Desktop,Top,News,Morning,0
8726,User8726,,Female,Desktop,Side,Education,Morning,1
92,User92,,,Tablet,Top,Shopping,Morning,0
2823,User2823,46.0,,Mobile,Top,,,0
9806,User9806,,Male,Tablet,Bottom,,Evening,1
5418,User5418,,Male,,,Entertainment,Evening,1
7688,User7688,57.0,Male,,Top,,Evening,1
7590,User7590,,Non-Binary,,,Social Media,Morning,0
2804,User2804,,Female,Tablet,Bottom,Education,Evening,1
6202,User6202,,Female,Tablet,Bottom,,Night,1
7466,User7466,47.0,,Mobile,Bottom,Shopping,,1
6669,User6669,38.0,Female,,,News,Night,1
5890,User5890,56.0,Female,Mobile,Bottom,,,1
8400,User8400,,,Tablet,Bottom,Entertainment,Afternoon,1
2124,User2124,,Male,Desktop,Top,,,1
6296,User6296,29.0,,Desktop,,Education,Evening,1
9412,User9412,,,Mobile,Bottom,Social Media,Morning,1
5629,User5629,,,Tablet,Top,,Night,1
9422,User9422,,,,Side,Entertainment,Night,1
8174,User8174,20.0,Female,Mobile,Bottom,,Afternoon,1
315,User315,,Non-Binary,Desktop,,Social Media,Evening,1
3296,User3296,42.0,,,Top,,Afternoon,0
2394,User2394,,Non-Binary,Tablet,Bottom,,Afternoon,0
7828,User7828,29.0,,Tablet,Bottom,,Morning,1
3478,User3478,62.0,Non-Binary,Tablet,Top,,Night,0
3834,User3834,61.0,Male,Desktop,Bottom,,Night,0
1136,User1136,58.0,,Mobile,Side,,Morning,1
1225,User1225,27.0,,Tablet,Side,Entertainment,,1
7,User7,,Female,Tablet,,,Evening,1
2946,User2946,37.0,,Desktop,Bottom,,Afternoon,1
1729,User1729,26.0,Female,,Top,,Afternoon,1
1369,User1369,,,Desktop,Bottom,Social Media,Morning,1
1914,User1914,42.0,Male,Tablet,Bottom,Shopping,Night,1
7993,User7993,,,,Bottom,,Morning,1
2266,User2266,38.0,Non-Binary,Mobile,Bottom,,,0
5523,User5523,,,,Top,Shopping,Afternoon,0
5338,User5338,51.0,Male,,,Social Media,Morning,1
3955,User3955,63.0,Female,,Top,Entertainment,Afternoon,0
1340,User1340,40.0,,Tablet,,Entertainment,Evening,0
7828,User7828,29.0,,Tablet,,,Morning,1
7971,User7971,,Non-Binary,Tablet,Top,,Evening,1
4049,User4049,57.0,,,Top,,,1
1033,User1033,,Female,Tablet,Bottom,Entertainment,Night,0
6237,User6237,,Non-Binary,Mobile,Top,News,Morning,1
5085,User5085,,,Tablet,,News,Night,1
7498,User7498,,Male,Mobile,Side,,,1
928,User928,,Male,Desktop,,Social Media,Night,1
2715,User2715,,Male,Mobile,,,Afternoon,0
6771,User6771,,,Desktop,Side,Shopping,,1
6237,User6237,32.0,Non-Binary,Mobile,Top,News,Morning,1
8081,User8081,38.0,,Tablet,Bottom,Entertainment,Night,1
9892,User9892,,,Tablet,Side,,Evening,1
1634,User1634,,,Tablet,Bottom,News,Night,0
3042,User3042,,,Mobile,Side,Social Media,,1
3906,User3906,,Non-Binary,Tablet,Bottom,,Evening,1
7699,User7699,45.0,Non-Binary,Tablet,Side,,Afternoon,0
5881,User5881,26.0,Non-Binary,Tablet,Top,,,1
6251,User6251,44.0,Non-Binary,Mobile,,Shopping,Morning,1
9676,User9676,21.0,,Mobile,Top,,Morning,1
1679,User1679,56.0,,Mobile,Top,Education,,0
7511,User7511,31.0,Female,Desktop,Side,Shopping,Night,1
8333,User8333,,Female,Mobile,,,Afternoon,0
4527,User4527,52.0,Male,Mobile,,Education,Morning,0
9344,User9344,50.0,,Mobile,,Shopping,Night,0
5531,User5531,34.0,Male,Desktop,,News,Night,1
1762,User1762,41.0,,Desktop,Side,Entertainment,Afternoon,1
8252,User8252,,Male,Tablet,Side,,Night,1
3109,User3109,,,,Side,Entertainment,Evening,1
7349,User7349,47.0,Female,Tablet,Side,Entertainment,Afternoon,0
9290,User9290,,,Desktop,,Entertainment,Afternoon,1
7828,User7828,29.0,,Tablet,Bottom,,Morning,1
2581,User2581,,Female,,Bottom,,Evening,1
1734,User1734,50.0,,Mobile,Side,Education,Night,0
1101,User1101,,,Mobile,Bottom,Shopping,,0
5363,User5363,,,Desktop,Top,,Evening,0
4102,User4102,54.0,,,Top,,,0
5918,User5918,48.0,,Mobile,Bottom,,Evening,0
9550,User9550,58.0,Non-Binary,Desktop,Top,Education,,1
270,User270,40.0,Non-Binary,Desktop,Side,News,Evening,0
6602,User6602,,Female,Desktop,Side,,,1
9842,User9842,43.0,Non-Binary,,Top,Shopping,Afternoon,1
9522,User9522,,,Tablet,Bottom,,Afternoon,0
6387,User6387,,,Desktop,Side,,Evening,0
507,User507,,,,Side,,Morning,0
7878,User7878,60.0,,Tablet,Side,,Afternoon,1
6708,User6708,,,Desktop,Top,,Night,1
3345,User3345,39.0,Male,,Side,,Night,1
4858,User4858,26.0,,Tablet,Side,Social Media,Evening,0
9888,User9888,49.0,Male,Mobile,Top,News,,1
6683,User6683,,Female,,Side,,Night,1
9418,User9418,20.0,,Tablet,Side,News,,1
2693,User2693,64.0,Male,Desktop,Side,Shopping,,0
9642,User9642,,Non-Binary,Mobile,,,Evening,1
9265,User9265,,,,Side,,Night,0
4021,User4021,38.0,,Mobile,Side,,Morning,1
2096,User2096,48.0,Non-Binary,Desktop,Top,,Night,1
3990,User3990,28.0,,Tablet,Side,Social Media,,1
9418,User9418,20.0,Male,Tablet,Side,,,1
4509,User4509,29.0,,Desktop,Bottom,Education,,1
5471,User5471,,,Desktop,Side,Social Media,,0
8326,User8326,,Female,Desktop,Bottom,Entertainment,Evening,1
4957,User4957,58.0,Male,Desktop,Bottom,Social Media,Evening,1
4621,User4621,20.0,,Desktop,Top,,,1
8883,User8883,,Female,Mobile,Bottom,Education,Evening,1
7476,User7476,52.0,,Tablet,Bottom,News,Night,0
6854,User6854,32.0,Male,Mobile,Bottom,,Night,1
9736,User9736,46.0,,Desktop,Bottom,Education,Evening,1
1549,User1549,56.0,,Desktop,Top,,,1
5418,User5418,,Male,Mobile,Top,Entertainment,,1
3328,User3328,,,Desktop,Top,News,Night,0
3352,User3352,,Female,Desktop,,,Night,1
9499,User9499,,Female,Mobile,Bottom,Social Media,Morning,1
9912,User9912,20.0,,Mobile,,Entertainment,Night,0
3763,User3763,23.0,,Desktop,Bottom,Social Media,Afternoon,0
4907,User4907,,,,Side,,,0
4889,User4889,,,Tablet,Bottom,News,Evening,1
2124,User2124,,Male,Desktop,,,Evening,1
7973,User7973,28.0,Female,Mobile,Bottom,Shopping,Morning,1
8226,User8226,,Male,Tablet,Top,,Morning,1
6657,User6657,22.0,,Desktop,Bottom,News,Night,1
1171,User1171,,Female,Mobile,Bottom,,Night,1
6637,User6637,27.0,Non-Binary,Mobile,,Social Media,,0
1296,User1296,,,Tablet,,,Morning,1
8226,User8226,,Male,Tablet,Top,,Morning,1
7878,User7878,60.0,,Tablet,Side,,,1
4539,User4539,54.0,,Mobile,Bottom,,,1
6258,User6258,,Non-Binary,,Top,,Night,1
8149,User8149,42.0,Non-Binary,Mobile,Side,Education,Morning,0
7685,User7685,,,Tablet,,,Afternoon,0
3430,User3430,61.0,Male,Desktop,Side,Social Media,Morning,1
5566,User5566,,Non-Binary,Mobile,Bottom,Social Media,Morning,1
1369,User1369,,,Desktop,Bottom,Social Media,Morning,1
3060,User3060,,Male,Tablet,Bottom,,Morning,1
3333,User3333,30.0,,Tablet,Top,,Evening,1
6654,User6654,33.0,,Desktop,Top,,Afternoon,1
6785,User6785,,Non-Binary,Tablet,Side,News,Afternoon,0
1041,User1041,37.0,,Mobile,Side,Entertainment,Morning,1
1483,User1483,54.0,Non-Binary,Tablet,Bottom,Education,,0
9966,User9966,,,Mobile,Top,,Afternoon,1
6129,User6129,36.0,,Tablet,Bottom,Shopping,,1
2934,User2934,26.0,Non-Binary,Desktop,Top,Entertainment,Afternoon,1
2086,User2086,51.0,,Mobile,Side,,Night,0
1136,User1136,,,Mobile,,,Morning,1
5647,User5647,46.0,Female,Tablet,Side,,Morning,1
1975,User1975,30.0,Female,Mobile,Top,Social Media,Morning,1
1370,User1370,,,Desktop,Bottom,,Night,1
4029,User4029,21.0,Female,Desktop,Side,,Afternoon,1
403,User403,,Non-Binary,Tablet,Top,Shopping,Afternoon,0
5894,User5894,57.0,Male,Desktop,Side,Social Media,Evening,0
9617,User9617,63.0,,Tablet,,Shopping,,1
1650,User1650,29.0,,Desktop,Bottom,,,1
739,User739,,Female,Mobile,Side,Social Media,Morning,0
2062,User2062,,,Desktop,Top,Social Media,Morning,0
6966,User6966,39.0,Non-Binary,Tablet,Side,,Evening,0
2529,User2529,,Female,Desktop,,,Afternoon,1
6153,User6153,30.0,,Mobile,Side,Entertainment,Night,1
389,User389,,Non-Binary,Tablet,Top,,Afternoon,1
7507,User7507,,,,Top,Education,Afternoon,1
1945,User1945,20.0,Female,Tablet,Side,Entertainment,Night,1
3675,User3675,36.0,,Tablet,,,Afternoon,0
5198,User5198,47.0,Male,Desktop,Bottom,Education,,1
9660,User9660,,Male,Desktop,Top,,Night,1
9845,User9845,59.0,,Mobile,Top,,Evening,0
911,User911,32.0,Non-Binary,,Top,,Night,1
7013,User7013,,,Tablet,Top,Education,Afternoon,0
9136,User9136,,Non-Binary,Desktop,Side,,Afternoon,1
1278,User1278,,,Tablet,,Education,Evening,0
6657,User6657,22.0,,,Bottom,,Night,1
7376,User7376,,Female,Mobile,Side,News,Morning,1
5569,User5569,,,Mobile,Bottom,,Afternoon,1
6256,User6256,,Male,Tablet,Top,,Evening,0
6131,User6131,43.0,Male,Tablet,Top,Entertainment,,0
2125,User2125,,Female,Tablet,Top,,Evening,1
2142,User2142,34.0,Non-Binary,Desktop,,Shopping,,1
9397,User9397,19.0,,Tablet,Top,,,1
5100,User5100,42.0,,Mobile,Side,Shopping,,1
8241,User8241,,,Tablet,Side,,,0
6296,User6296,29.0,,Desktop,Bottom,Education,Evening,1
8411,User8411,,Male,Tablet,Bottom,,Evening,0
8253,User8253,57.0,Non-Binary,Desktop,Bottom,Entertainment,Night,1
277,User277,,Male,Desktop,Top,,Afternoon,1
8426,User8426,21.0,Male,Mobile,Side,,Night,0
6438,User6438,53.0,Non-Binary,Tablet,Top,Shopping,,1
1377,User1377,,Male,Tablet,Bottom,,Afternoon,0
1041,User1041,37.0,,,Side,Entertainment,Morning,1
9333,User9333,,Female,Tablet,Top,Education,,0
5860,User5860,,Female,Desktop,Bottom,Entertainment,Morning,1
9599,User9599,,,,Side,Entertainment,Evening,0
6980,User6980,62.0,,,,,Night,1
5055,User5055,45.0,Male,Desktop,Top,,Morning,1
7971,User7971,,Non-Binary,Tablet,,,,1
444,User444,53.0,Non-Binary,Desktop,,,Evening,0
