id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click,data_quality_score
7917,User7917,,Non-Binary,Tablet,Side,,Afternoon,0,4
63,User63,,Female,Tablet,Top,Social Media,,0,4
5340,User5340,19.0,Male,Mobile,Side,,Night,0,4
2907,User2907,,Male,Mobile,Side,News,,0,3
7545,User7545,25.0,Male,Tablet,Bottom,News,Evening,0,5
3746,User3746,,Male,Desktop,Top,,Morning,1,1
6906,User6906,,Male,Mobile,Top,,Morning,1,3
1665,User1665,19.0,Male,Mobile,Bottom,,Afternoon,0,4
1762,User1762,41.0,Male,Desktop,Bottom,Entertainment,Afternoon,1,5
8201,User8201,59.0,Female,Desktop,Bottom,Social Media,Morning,0,6
4086,User4086,,Female,Desktop,Top,Entertainment,Morning,1,5
9896,User9896,45.0,Female,Desktop,Side,,Afternoon,0,5
1503,User1503,19.0,Male,Desktop,Side,,,1,2
571,User571,,Male,Tablet,Bottom,Social Media,Afternoon,0,5
7591,User7591,,Male,Desktop,Top,,Night,0,4
5531,User5531,34.0,Male,Desktop,Top,News,,1,5
5419,User5419,,Male,Tablet,Side,,Morning,1,3
9921,User9921,,Female,Desktop,Side,,Night,0,4
5338,User5338,51.0,Male,Mobile,Top,Social Media,Morning,1,5
5821,User5821,31.0,Female,Desktop,,Education,,0,4
4890,User4890,43.0,Male,Desktop,Bottom,Education,Afternoon,1,5
9992,User9992,,Male,Desktop,Side,Shopping,Evening,1,5
9153,User9153,61.0,Non-Binary,Tablet,Bottom,,Morning,0,5
2096,User2096,48.0,Non-Binary,Desktop,Top,,Night,1,5
4777,User4777,,Female,Tablet,Side,,Morning,0,4
6683,User6683,,Male,Tablet,Bottom,,Night,1,2
6880,User6880,,Female,Mobile,Side,News,Night,1,5
2021,User2021,41.0,Male,Mobile,Top,,Night,1,3
5986,User5986,32.0,Male,Desktop,Side,,,0,3
5484,User5484,64.0,Female,Mobile,Side,Education,Morning,0,6
8948,User8948,25.0,Male,Mobile,Bottom,Education,,1,4
3109,User3109,,Male,Desktop,Side,Entertainment,,1,2
3042,User3042,,Male,Desktop,Side,,Afternoon,1,2
3225,User3225,23.0,Male,Tablet,,Entertainment,,1,3
3801,User3801,26.0,Non-Binary,Desktop,Side,,Evening,1,5
1190,User1190,,Non-Binary,Tablet,Bottom,Education,,1,4
1077,User1077,,Non-Binary,Desktop,Top,,Afternoon,1,4
3062,User3062,,Male,Desktop,Bottom,Entertainment,,1,4
6060,User6060,,Male,Desktop,Top,News,Morning,0,4
4697,User4697,,Male,Mobile,Side,Entertainment,Afternoon,1,4
6849,User6849,39.0,Male,Mobile,Side,,Night,1,3
1908,User1908,26.0,Male,Mobile,,,,1,2
5703,User5703,55.0,Female,Tablet,Side,Shopping,Night,0,6
4856,User4856,21.0,Male,Desktop,Top,,Evening,0,4
1197,User1197,,Male,Mobile,Top,Social Media,Night,1,5
9307,User9307,,Male,Desktop,Top,Social Media,Evening,0,2
8683,User8683,26.0,Male,Desktop,Side,,,0,3
820,User820,39.0,Non-Binary,Mobile,Side,Social Media,Afternoon,0,6
8010,User8010,24.0,Male,Desktop,Top,,,0,3
2364,User2364,54.0,Female,Desktop,Side,,Afternoon,0,4
4507,User4507,42.0,Male,Desktop,Bottom,,,0,2
1549,User1549,,Male,Desktop,Top,,Afternoon,1,3
4630,User4630,19.0,Non-Binary,Tablet,Side,Shopping,Evening,0,6
3577,User3577,58.0,Male,Desktop,Side,Social Media,Afternoon,0,5
5845,User5845,,Male,Tablet,Top,Shopping,Morning,0,3
8253,User8253,57.0,Non-Binary,Desktop,Bottom,Entertainment,,1,5
5418,User5418,,Male,Desktop,Top,,,1,2
255,User255,31.0,Male,Desktop,Bottom,Entertainment,Night,1,3
4621,User4621,20.0,Male,Desktop,,,,1,2
1704,User1704,61.0,Female,Desktop,,,,1,2
118,User118,43.0,Female,Tablet,Bottom,Social Media,Night,0,6
8957,User8957,,Female,Mobile,Top,,Morning,1,4
3314,User3314,35.0,Male,Tablet,Top,News,Evening,0,5
5995,User5995,,Male,Desktop,Top,,Morning,0,3
3007,User3007,42.0,Male,Desktop,Top,Shopping,Night,0,6
1325,User1325,,Male,Desktop,Side,,Evening,1,2
756,User756,,Male,Desktop,Side,,Evening,0,1
5194,User5194,53.0,Male,Mobile,Top,,,1,4
4611,User4611,20.0,Female,Tablet,Bottom,Social Media,Night,0,5
2023,User2023,19.0,Non-Binary,Desktop,,,,1,3
2565,User2565,,Non-Binary,Desktop,Bottom,Shopping,Night,0,5
2965,User2965,,Non-Binary,Tablet,Top,Shopping,,0,4
8041,User8041,,Male,Mobile,Bottom,,Afternoon,1,3
6258,User6258,,Male,Tablet,Top,,Night,1,3
3375,User3375,52.0,Male,Mobile,Bottom,Education,Morning,1,5
7805,User7805,36.0,Male,Mobile,Bottom,,Afternoon,0,4
3062,User3062,34.0,Male,Desktop,Bottom,Entertainment,Evening,1,6
6449,User6449,42.0,Male,Desktop,Top,Shopping,Night,1,5
9647,User9647,34.0,Non-Binary,Desktop,Side,,Evening,0,5
5439,User5439,38.0,Male,Tablet,Side,Social Media,Afternoon,1,5
9400,User9400,,Non-Binary,Mobile,Side,Education,Night,1,5
1914,User1914,42.0,Male,Desktop,Bottom,Shopping,,1,3
9732,User9732,27.0,Male,Desktop,Side,Education,Evening,0,5
5642,User5642,57.0,Male,Tablet,Bottom,News,Morning,0,5
9689,User9689,,Male,Desktop,Bottom,,,1,3
7655,User7655,39.0,Male,Desktop,Bottom,,,0,2
5780,User5780,,Male,Mobile,Bottom,Entertainment,,1,3
2976,User2976,,Male,Desktop,Top,Shopping,Afternoon,0,2
6262,User6262,,Male,Desktop,Bottom,,Morning,0,2
3663,User3663,,Male,Mobile,,Social Media,,0,2
8103,User8103,,Non-Binary,Desktop,Top,,Night,0,3
2757,User2757,35.0,Female,Mobile,Bottom,Social Media,Night,0,6
9136,User9136,,Non-Binary,Desktop,Side,,Afternoon,1,4
6974,User6974,53.0,Male,Desktop,Side,Education,Evening,0,5
1486,User1486,,Male,Desktop,Side,,Morning,0,3
606,User606,,Male,Desktop,Bottom,Entertainment,Afternoon,1,3
1612,User1612,40.0,Male,Mobile,Side,News,Evening,1,5
6438,User6438,53.0,Non-Binary,Tablet,Top,,Night,1,4
3225,User3225,23.0,Male,Desktop,Bottom,Entertainment,Morning,1,4
9842,User9842,43.0,Non-Binary,Mobile,Side,Shopping,Afternoon,1,5
8817,User8817,,Male,Tablet,Bottom,,Night,1,4
1020,User1020,,Male,Mobile,Side,Education,Morning,1,4
1635,User1635,54.0,Female,Desktop,Top,,,1,3
3776,User3776,,Male,Desktop,Top,Social Media,Evening,0,3
5412,User5412,35.0,Male,Mobile,Top,,Evening,1,4
6989,User6989,28.0,Male,Mobile,Top,Shopping,Afternoon,1,5
8018,User8018,,Male,Desktop,Side,,Night,1,3
2529,User2529,,Female,Desktop,Bottom,,Afternoon,1,3
3285,User3285,,Male,Tablet,Side,News,,0,4
2156,User2156,46.0,Female,Tablet,Side,,,1,4
8530,User8530,52.0,Female,Mobile,Top,Social Media,Afternoon,1,6
9418,User9418,20.0,Male,Desktop,Side,News,,1,4
8190,User8190,26.0,Male,Mobile,Side,,Afternoon,1,4
1140,User1140,28.0,Male,Desktop,Side,,Evening,0,4
3149,User3149,,Male,Desktop,Top,,Night,0,4
5629,User5629,,Male,Tablet,Bottom,,Night,1,2
9748,User9748,47.0,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0,6
6449,User6449,,Male,Desktop,Top,Shopping,Night,1,4
9699,User9699,,Female,Desktop,Top,Shopping,Morning,0,3
2809,User2809,,Non-Binary,Desktop,Top,News,Afternoon,0,5
4089,User4089,,Non-Binary,Tablet,Top,,Afternoon,0,3
2885,User2885,,Non-Binary,Desktop,Bottom,Education,Afternoon,0,5
1190,User1190,,Non-Binary,Tablet,Bottom,Education,Morning,1,5
8068,User8068,,Female,Mobile,Side,Shopping,Afternoon,0,5
5082,User5082,44.0,Female,Mobile,Top,,Afternoon,1,5
1345,User1345,34.0,Male,Desktop,Top,Entertainment,,0,4
4938,User4938,,Male,Desktop,Side,Social Media,Evening,1,5
5623,User5623,53.0,Male,Desktop,Side,,Morning,1,4
5329,User5329,54.0,Male,Tablet,Side,,Evening,1,5
9990,User9990,25.0,Male,Desktop,Side,,Night,1,5
3746,User3746,,Male,Desktop,Top,,Morning,1,4
7993,User7993,,Non-Binary,Mobile,Bottom,Social Media,Morning,1,5
5955,User5955,,Male,Tablet,Side,,Evening,1,2
5100,User5100,42.0,Male,Mobile,Side,Shopping,Morning,1,5
6129,User6129,36.0,Male,Tablet,Bottom,,Evening,1,4
4625,User4625,33.0,Non-Binary,Mobile,Top,News,Morning,0,6
8459,User8459,38.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,1,6
3215,User3215,33.0,Male,Mobile,Side,,Afternoon,0,5
4151,User4151,,Male,Desktop,Side,,Evening,0,2
8176,User8176,,Male,Desktop,Top,News,Afternoon,0,5
1908,User1908,26.0,Male,Mobile,Bottom,,Evening,1,5
2142,User2142,34.0,Non-Binary,Desktop,Top,Shopping,Afternoon,1,4
4212,User4212,,Male,Desktop,,News,,0,1
9137,User9137,35.0,Female,Desktop,Side,Social Media,,0,5
8085,User8085,35.0,Non-Binary,Mobile,Side,,Evening,0,4
933,User933,41.0,Female,Tablet,Bottom,Entertainment,Night,0,5
4779,User4779,,Male,Tablet,Top,,Afternoon,0,3
4925,User4925,47.0,Male,Desktop,Side,Entertainment,Evening,0,5
6167,User6167,20.0,Male,Mobile,Side,Shopping,Night,1,6
3818,User3818,27.0,Male,Desktop,Top,Shopping,Night,0,5
6919,User6919,45.0,Non-Binary,Desktop,Top,Social Media,Night,0,6
7779,User7779,36.0,Male,Desktop,Bottom,,Morning,0,3
6441,User6441,,Male,Desktop,Top,,Night,1,3
7808,User7808,26.0,Female,Desktop,Top,,Night,1,5
550,User550,,Male,Desktop,Top,,Morning,0,3
3644,User3644,,Female,Mobile,Side,Entertainment,Evening,1,5
7422,User7422,,Female,Desktop,Top,,Evening,1,4
5732,User5732,,Non-Binary,Desktop,Bottom,,Evening,1,3
8222,User8222,27.0,Male,Tablet,Side,News,Afternoon,1,5
4450,User4450,45.0,Female,Mobile,Top,,Evening,0,5
3277,User3277,,Male,Mobile,Side,News,,0,3
8174,User8174,20.0,Female,Mobile,Bottom,,,1,4
1127,User1127,,Male,Desktop,Bottom,,Afternoon,1,2
3345,User3345,,Male,Desktop,Side,,Night,1,3
453,User453,,Female,Tablet,Top,Entertainment,Afternoon,1,5
4345,User4345,,Male,Desktop,Bottom,Education,Afternoon,0,4
6268,User6268,,Male,Desktop,Bottom,,Night,1,2
329,User329,36.0,Male,Desktop,Top,,Night,0,4
9266,User9266,38.0,Male,Mobile,Bottom,Education,Afternoon,1,4
6917,User6917,,Non-Binary,Mobile,Bottom,,Afternoon,0,4
8561,User8561,52.0,Male,Mobile,Bottom,,Evening,1,5
9448,User9448,,Non-Binary,Mobile,Side,Entertainment,Morning,0,5
7272,User7272,,Male,Tablet,Side,News,Afternoon,0,3
234,User234,19.0,Male,Tablet,Bottom,Social Media,Morning,1,5
255,User255,,Male,Desktop,Bottom,Entertainment,Night,1,4
2129,User2129,47.0,Male,Tablet,Bottom,Social Media,Evening,1,5
7678,User7678,53.0,Female,Desktop,Top,Social Media,Night,0,6
8515,User8515,,Non-Binary,Mobile,Bottom,,Night,1,4
2173,User2173,,Male,Desktop,Bottom,Shopping,Night,1,3
5571,User5571,,Female,Desktop,Side,,Evening,0,4
9611,User9611,,Male,Desktop,Side,Entertainment,Afternoon,1,5
5737,User5737,29.0,Male,Desktop,Top,Shopping,Night,0,5
7788,User7788,63.0,Non-Binary,Mobile,Side,,Night,0,5
7471,User7471,,Female,Mobile,Bottom,,Morning,1,4
9811,User9811,,Male,Mobile,Side,,Morning,0,3
8115,User8115,20.0,Female,Mobile,Top,Social Media,Afternoon,1,6
217,User217,,Male,Tablet,Bottom,Education,Morning,0,3
234,User234,,Female,Desktop,Bottom,Social Media,Morning,1,3
6864,User6864,,Male,Desktop,Side,Social Media,Evening,0,4
6462,User6462,36.0,Male,Tablet,Side,Education,Evening,1,5
1214,User1214,26.0,Female,Mobile,Bottom,News,Evening,1,6
3543,User3543,55.0,Male,Desktop,Top,,Night,1,3
7214,User7214,62.0,Non-Binary,Mobile,,Education,,0,4
3236,User3236,56.0,Female,Mobile,Bottom,Education,Morning,1,6
8957,User8957,,Male,Desktop,Top,,Morning,1,2
1214,User1214,26.0,Female,Mobile,Bottom,,Evening,1,4
6576,User6576,62.0,Female,Desktop,Bottom,Entertainment,Morning,1,6
6602,User6602,,Female,Desktop,,,,1,2
9400,User9400,,Male,Mobile,Side,Education,,1,3
5501,User5501,28.0,Non-Binary,Mobile,Bottom,Social Media,Evening,1,6
5084,User5084,,Non-Binary,Tablet,Side,,,1,3
1020,User1020,,Male,Desktop,Side,,Morning,1,2
9618,User9618,,Non-Binary,Desktop,Side,Education,Morning,0,4
7659,User7659,19.0,Male,Mobile,Top,News,Night,0,5
2003,User2003,,Male,Desktop,Bottom,News,Afternoon,0,4
9736,User9736,46.0,Male,Desktop,,Education,,1,2
487,User487,28.0,Male,Mobile,Side,,Afternoon,1,5
4429,User4429,,Male,Desktop,Top,Entertainment,Morning,1,3
998,User998,,Male,Tablet,Top,,Evening,1,3
8226,User8226,,Male,Tablet,Side,,Morning,1,2
9220,User9220,21.0,Female,Mobile,Side,,Night,1,5
1420,User1420,62.0,Non-Binary,Desktop,Side,,Morning,1,4
2485,User2485,,Non-Binary,Mobile,Bottom,News,,1,4
4841,User4841,21.0,Female,Desktop,Side,Education,Evening,0,5
8316,User8316,,Male,Desktop,Bottom,,,0,3
3601,User3601,,Non-Binary,Mobile,Bottom,Entertainment,,1,4
9290,User9290,61.0,Male,Desktop,Bottom,,,1,3
5258,User5258,50.0,Non-Binary,Desktop,Side,Education,Night,0,6
9431,User9431,,Male,Mobile,Top,,Afternoon,1,4
885,User885,49.0,Male,Tablet,Side,,Afternoon,0,4
7866,User7866,,Male,Mobile,Top,Social Media,Morning,1,3
1110,User1110,43.0,Male,Mobile,Side,Entertainment,,0,4
1539,User1539,43.0,Male,Mobile,Bottom,Education,Evening,1,5
2722,User2722,39.0,Male,Desktop,Top,,Evening,1,4
5890,User5890,56.0,Female,Mobile,Bottom,News,Night,1,6
5062,User5062,,Male,Tablet,Bottom,,Night,0,4
6125,User6125,18.0,Male,Desktop,Bottom,,Afternoon,0,2
2964,User2964,40.0,Non-Binary,Mobile,Side,,,1,4
6573,User6573,55.0,Non-Binary,Desktop,Side,,Evening,1,5
2133,User2133,,Male,Tablet,Side,Shopping,,0,3
3014,User3014,,Male,Mobile,Top,,,1,2
6619,User6619,36.0,Male,Tablet,Bottom,Social Media,Evening,0,5
579,User579,,Male,Tablet,Side,Entertainment,Evening,0,4
3938,User3938,,Male,Mobile,,,,1,2
949,User949,,Male,Desktop,Top,Social Media,Morning,0,4
6145,User6145,,Female,Desktop,Side,Education,Evening,0,4
9075,User9075,36.0,Female,Mobile,,,,1,3
3658,User3658,,Male,Desktop,Side,Shopping,Night,1,3
6602,User6602,,Male,Desktop,Side,,Night,1,3
2760,User2760,55.0,Male,Desktop,Top,,Morning,0,3
4616,User4616,,Female,Desktop,Side,,Evening,0,3
1503,User1503,19.0,Female,Tablet,Side,,Afternoon,1,5
9550,User9550,58.0,Male,Desktop,Top,Education,Afternoon,1,5
9227,User9227,,Non-Binary,Desktop,Side,,,1,2
5522,User5522,19.0,Male,Desktop,Bottom,,Night,0,4
7438,User7438,,Non-Binary,Desktop,Side,News,Morning,1,4
5733,User5733,,Male,Mobile,Bottom,,Morning,0,3
6771,User6771,,Male,Desktop,Side,,Morning,1,2
8442,User8442,54.0,Male,Tablet,Bottom,News,Evening,0,5
393,User393,,Male,Desktop,Bottom,Shopping,Morning,1,4
8252,User8252,,Male,Desktop,Side,,Night,1,3
8947,User8947,22.0,Male,Desktop,,Entertainment,,1,3
6423,User6423,,Male,Tablet,Side,Shopping,Afternoon,0,4
670,User670,22.0,Male,Desktop,Top,Shopping,Afternoon,1,4
9245,User9245,,Male,Tablet,Top,Education,Morning,0,4
3232,User3232,22.0,Male,Tablet,Bottom,,Night,0,4
6479,User6479,,Male,Tablet,Side,,Afternoon,1,4
8226,User8226,,Male,Tablet,Top,,,1,3
4254,User4254,19.0,Male,Desktop,Bottom,,Afternoon,1,5
1099,User1099,36.0,Male,Tablet,Top,Shopping,Night,0,6
3641,User3641,,Male,Tablet,Top,,Night,1,2
3014,User3014,,Male,Mobile,Top,,Afternoon,1,3
2964,User2964,40.0,Non-Binary,Mobile,Side,Entertainment,Night,1,6
9807,User9807,35.0,Non-Binary,Tablet,Bottom,Education,Night,1,6
9806,User9806,58.0,Male,Desktop,Bottom,,Evening,1,4
6883,User6883,32.0,Male,Desktop,Side,News,Afternoon,0,6
1470,User1470,25.0,Male,Tablet,Top,Social Media,Evening,0,6
645,User645,,Male,Tablet,Side,,Morning,0,3
4015,User4015,,Male,Desktop,Side,,,1,2
8208,User8208,,Female,Tablet,Top,Education,Evening,1,5
5425,User5425,,Male,Mobile,Side,Entertainment,Afternoon,1,4
4874,User4874,,Male,Mobile,,News,,0,3
1914,User1914,,Male,Desktop,Bottom,Shopping,,1,3
4950,User4950,28.0,Male,Mobile,Side,,Morning,1,4
24,User24,,Male,Tablet,Side,,,1,2
7450,User7450,,Male,Desktop,Side,News,Night,1,4
2019,User2019,42.0,Male,Tablet,Top,,Night,0,4
1446,User1446,,Male,Desktop,Bottom,News,Night,1,4
7750,User7750,46.0,Male,Mobile,Side,Social Media,Morning,1,5
2337,User2337,40.0,Male,Desktop,Top,Entertainment,,1,5
4178,User4178,41.0,Male,Desktop,Top,,Morning,0,4
6487,User6487,19.0,Male,Desktop,Side,,,1,3
3057,User3057,,Female,Desktop,Top,Entertainment,Afternoon,0,4
6765,User6765,46.0,Female,Desktop,Side,Entertainment,Morning,1,4
5193,User5193,50.0,Female,Desktop,Top,Education,Afternoon,1,5
6906,User6906,,Non-Binary,Mobile,Top,,,1,3
2555,User2555,,Non-Binary,Tablet,,News,,1,3
4773,User4773,59.0,Male,Desktop,Top,Entertainment,,0,5
6438,User6438,53.0,Non-Binary,Desktop,Bottom,Shopping,Night,1,4
9128,User9128,,Male,Desktop,Top,,Morning,0,2
9075,User9075,36.0,Female,Mobile,Top,,Night,1,4
8372,User8372,52.0,Male,Desktop,Top,,Afternoon,0,4
400,User400,52.0,Non-Binary,Tablet,Side,,Evening,1,5
8334,User8334,,Male,Desktop,Top,,Evening,0,4
1965,User1965,,Male,Tablet,Bottom,Shopping,Morning,0,3
5403,User5403,61.0,Male,Desktop,Top,Education,Night,0,6
3333,User3333,30.0,Male,Tablet,Top,,Evening,1,5
5501,User5501,28.0,Non-Binary,Mobile,Bottom,,,1,4
9617,User9617,63.0,Male,Tablet,,Shopping,,1,3
7792,User7792,,Male,Mobile,Bottom,,Evening,0,4
3708,User3708,43.0,Male,Desktop,Top,,Evening,0,5
3280,User3280,29.0,Male,Tablet,Side,,Morning,0,4
2529,User2529,,Male,Desktop,Top,,Afternoon,1,3
8832,User8832,49.0,Male,Tablet,Side,,Night,1,4
5945,User5945,42.0,Male,Desktop,Side,,,0,4
9723,User9723,,Female,Mobile,Side,,Evening,1,4
6268,User6268,,Male,Desktop,Top,,Night,1,3
5664,User5664,32.0,Male,Mobile,Top,,,0,4
1945,User1945,20.0,Male,Tablet,Side,Entertainment,,1,4
8058,User8058,25.0,Male,Mobile,Top,,Afternoon,0,3
560,User560,,Male,Desktop,Side,Social Media,Morning,0,4
3299,User3299,44.0,Non-Binary,Tablet,Side,,Evening,1,5
2336,User2336,32.0,Male,Tablet,Side,,Morning,1,4
7466,User7466,47.0,Male,Mobile,Bottom,Shopping,Afternoon,1,5
4587,User4587,,Male,Tablet,Top,,,0,2
1369,User1369,,Male,Desktop,Bottom,Social Media,Morning,1,2
7438,User7438,53.0,Non-Binary,Mobile,Side,News,Morning,1,6
9162,User9162,,Male,Mobile,Top,,Night,0,3
1325,User1325,,Male,Desktop,Side,,Evening,1,3
5756,User5756,51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1,6
373,User373,34.0,Female,Mobile,Bottom,Education,Evening,1,5
1148,User1148,25.0,Male,Mobile,Bottom,,,1,3
6167,User6167,20.0,Male,Mobile,Side,,Night,1,5
5276,User5276,,Male,Tablet,Side,Shopping,Afternoon,1,4
5338,User5338,51.0,Male,Mobile,Top,Social Media,Morning,1,6
6462,User6462,,Male,Tablet,Side,Education,Evening,1,4
1540,User1540,45.0,Male,Tablet,Top,,Evening,0,4
1190,User1190,,Non-Binary,Desktop,Side,Education,Morning,1,3
6188,User6188,20.0,Male,Desktop,Bottom,Entertainment,Morning,1,4
7988,User7988,,Male,Mobile,Bottom,News,Evening,0,4
9789,User9789,,Male,Tablet,Bottom,,Morning,1,2
346,User346,29.0,Male,Mobile,Top,News,Evening,0,6
6160,User6160,,Male,Tablet,Top,,Evening,0,2
1549,User1549,56.0,Male,Desktop,Top,,Afternoon,1,4
6980,User6980,62.0,Male,Desktop,Bottom,Social Media,Night,1,4
1077,User1077,,Non-Binary,Desktop,Top,,Afternoon,1,3
5951,User5951,41.0,Female,Tablet,Top,,Evening,0,5
5193,User5193,50.0,Female,Desktop,,Education,,1,4
7526,User7526,,Male,Desktop,Side,,Evening,1,2
8956,User8956,,Male,Tablet,Top,,Morning,1,4
1601,User1601,41.0,Male,Tablet,Top,Education,Morning,0,5
3906,User3906,,Non-Binary,Tablet,Bottom,,Evening,1,4
8189,User8189,,Male,Tablet,Top,Shopping,,0,3
8190,User8190,26.0,Male,Mobile,Side,,,1,3
7973,User7973,28.0,Male,Mobile,Bottom,,Morning,1,4
5629,User5629,,Male,Tablet,Top,,,1,2
4015,User4015,44.0,Male,Tablet,Side,,Evening,1,5
